object,reference,position,points
asc,mercury,4,1
asc,moon,4,0
asc,asc,4,0
saturn,saturn,5,1
saturn,jupiter,5,1
saturn,mars,5,1
saturn,sun,5,0
saturn,venus,5,0
saturn,mercury,5,0
saturn,moon,5,0
saturn,asc,5,0
venus,saturn,5,1
venus,jupiter,5,1
venus,mars,5,0
venus,sun,5,0
venus,venus,5,1
venus,mercury,5,1
venus,moon,5,1
venus,asc,5,1
jupiter,saturn,5,1
jupiter,jupiter,5,0
jupiter,mars,5,0
jupiter,sun,5,0
jupiter,venus,5,1
jupiter,mercury,5,1
jupiter,moon,5,1
jupiter,asc,5,1
mercury,saturn,5,0
mercury,jupiter,5,0
mercury,mars,5,0
mercury,sun,5,1
mercury,venus,5,1
mercury,mercury,5,1
mercury,moon,5,0
mercury,asc,5,0
mars,saturn,5,0
mars,jupiter,5,0
mars,mars,5,0
mars,sun,5,1
mars,venus,5,0
mars,mercury,5,1
mars,moon,5,0
mars,asc,5,0
moon,saturn,5,1
moon,jupiter,5,0
moon,mars,5,1
moon,sun,5,0
moon,venus,5,1
moon,mercury,5,1
moon,moon,5,0
moon,asc,5,0
sun,saturn,5,0
sun,jupiter,5,1
sun,mars,5,0
sun,sun,5,0
sun,venus,5,0
sun,mercury,5,1
sun,moon,5,0
sun,asc,5,0
asc,saturn,5,0
asc,jupiter,5,1
asc,mars,5,0
asc,sun,5,0
asc,venus,5,1
asc,mercury,5,0
asc,moon,5,0
asc,asc,5,0
saturn,saturn,6,1
saturn,jupiter,6,1
saturn,mars,6,1
saturn,sun,6,0
saturn,venus,6,1
saturn,mercury,6,1
saturn,moon,6,1
saturn,asc,6,1
venus,saturn,6,0
venus,jupiter,6,0
venus,mars,6,1
venus,sun,6,0
venus,venus,6,0
venus,mercury,6,1
venus,moon,6,0
venus,asc,6,0
jupiter,saturn,6,1
jupiter,jupiter,6,0
jupiter,mars,6,0
jupiter,sun,6,0
jupiter,venus,6,1
jupiter,mercury,6,1
jupiter,moon,6,0
jupiter,asc,6,1
mercury,saturn,6,0
mercury,jupiter,6,1
mercury,mars,6,0
mercury,sun,6,1
mercury,venus,6,0
mercury,mercury,6,1
mercury,moon,6,1
mercury,asc,6,1
mars,saturn,6,0
mars,jupiter,6,1
mars,mars,6,0
mars,sun,6,1
mars,venus,6,1
mars,mercury,6,1
mars,moon,6,1
mars,asc,6,1
moon,saturn,6,1
moon,jupiter,6,0
moon,mars,6,1
moon,sun,6,1
moon,venus,6,0
moon,mercury,6,0
moon,moon,6,1
moon,asc,6,1
sun,saturn,6,0
sun,jupiter,6,1
sun,mars,6,0
sun,sun,6,0
sun,venus,6,1
sun,mercury,6,1
sun,moon,6,1
sun,asc,6,1
asc,saturn,6,1
